provider,model,temperature,random_seed,n_shot,example_strategy,class_0,class_1,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert,accuracy_expert_vs_gt,accuracy_llm_vs_gt,n_class_0_expert,n_class_1_expert,n_class_0_llm,n_class_1_llm,n_disagreements,n_total_test,n_malformed_responses,expert_w_0,expert_w_1
openai,gpt-4o-mini,0.0,42,3,mixed,A,B,0,0.6148648648648649,0.24218469277757815,0.6148648648648648,0.8533333333333334,0.7027027027027027,73,77,119,29,57,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,3,mixed,A,B,1,0.6216216216216216,0.25574712643678155,0.6216216216216217,0.8533333333333334,0.6959459459459459,73,77,120,28,56,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,3,random,A,B,0,0.6418918918918919,0.2871683024354781,0.6418918918918919,0.8533333333333334,0.777027027027027,73,77,87,61,53,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,3,random,A,B,1,0.8716216216216216,0.7431494336865181,0.8716216216216216,0.8533333333333334,0.9256756756756757,73,77,73,75,19,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,easy,A,B,0,0.9178082191780822,0.8356164383561644,0.9178082191780821,0.8533333333333334,0.7808219178082192,73,77,73,73,12,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,easy,A,B,1,0.910958904109589,0.8218509480007509,0.910958904109589,0.8533333333333334,0.773972602739726,73,77,72,74,13,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,hard,A,B,0,0.5684931506849316,0.1214899713467048,0.5684931506849316,0.8533333333333334,0.4863013698630137,73,77,26,120,63,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,hard,A,B,1,0.5753424657534246,0.13576475081153327,0.5753424657534247,0.8533333333333334,0.4931506849315068,73,77,27,119,62,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,mixed,A,B,0,0.7945205479452054,0.5924064768285874,0.7945205479452053,0.8533333333333334,0.8013698630136986,73,77,95,51,30,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,mixed,A,B,1,0.7945205479452054,0.5924064768285874,0.7945205479452053,0.8533333333333334,0.8013698630136986,73,77,95,51,30,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,random,A,B,0,0.863013698630137,0.7256154858109378,0.8630136986301369,0.8533333333333334,0.9452054794520548,73,77,69,77,20,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,random,A,B,1,0.9452054794520548,0.8904931558222389,0.9452054794520548,0.8533333333333334,0.863013698630137,73,77,75,71,8,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,easy,A,B,0,0.8857142857142857,0.7718011409942951,0.8857142857142858,0.8533333333333334,0.7857142857142857,73,77,74,66,16,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,easy,A,B,1,0.8928571428571429,0.7861507128309573,0.8928571428571429,0.8533333333333334,0.7928571428571428,73,77,75,65,15,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,hard,A,B,0,0.6214285714285714,0.2541214314435063,0.6214285714285714,0.8533333333333334,0.6,73,77,107,33,53,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,hard,A,B,1,0.5928571428571429,0.1991168205539945,0.5928571428571429,0.8533333333333334,0.5714285714285714,73,77,111,29,57,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,mixed,A,B,0,0.9,0.7998366013071896,0.9,0.8533333333333334,0.7928571428571428,73,77,68,72,14,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,mixed,A,B,1,0.8928571428571429,0.7854515733551287,0.8928571428571428,0.8533333333333334,0.8,73,77,67,73,15,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,random,A,B,0,0.9,0.8004885993485342,0.9,0.8533333333333334,0.8857142857142857,73,77,76,64,14,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,random,A,B,1,0.9285714285714286,0.8576078112286412,0.9285714285714286,0.8533333333333334,0.8285714285714286,73,77,78,62,10,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,easy,A,B,0,0.9153846153846154,0.8305285612704432,0.9153846153846155,0.8533333333333334,0.8076923076923077,73,77,62,68,11,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,easy,A,B,1,0.9307692307692308,0.8612099644128114,0.9307692307692308,0.8533333333333334,0.7923076923076923,73,77,60,70,9,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,hard,A,B,0,0.7384615384615385,0.4693877551020409,0.7384615384615385,0.8533333333333334,0.7153846153846154,73,77,35,95,34,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,hard,A,B,1,0.7384615384615385,0.4693877551020409,0.7384615384615385,0.8533333333333334,0.7153846153846154,73,77,35,95,34,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,mixed,A,B,0,0.8923076923076924,0.7837966262770254,0.8923076923076924,0.8533333333333334,0.7769230769230769,73,77,57,73,14,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,mixed,A,B,1,0.8923076923076924,0.7837966262770254,0.8923076923076924,0.8533333333333334,0.7769230769230769,73,77,57,73,14,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,random,A,B,0,0.9153846153846154,0.8310092176790357,0.9153846153846154,0.8533333333333334,0.8692307692307693,73,77,68,62,11,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,random,A,B,1,0.9,0.8010360254297151,0.9,0.8533333333333334,0.8076923076923077,73,77,76,54,13,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,easy,A,B,0,0.6133333333333333,0.2417639881471153,0.6133333333333333,0.8666666666666667,0.56,71,79,103,47,58,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,easy,A,B,1,0.58,0.17811793355366157,0.58,0.8666666666666667,0.5533333333333333,71,79,106,44,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,hard,A,B,0,0.6133333333333333,0.2417639881471153,0.6133333333333333,0.8666666666666667,0.56,71,79,103,47,58,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,hard,A,B,1,0.58,0.17811793355366157,0.58,0.8666666666666667,0.5533333333333333,71,79,106,44,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,mixed,A,B,0,0.6133333333333333,0.2417639881471153,0.6133333333333333,0.8666666666666667,0.56,71,79,103,47,58,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,mixed,A,B,1,0.58,0.17811793355366157,0.58,0.8666666666666667,0.5533333333333333,71,79,106,44,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,random,A,B,0,0.6133333333333333,0.2417639881471153,0.6133333333333333,0.8666666666666667,0.56,71,79,103,47,58,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,0,random,A,B,1,0.58,0.17811793355366157,0.58,0.8666666666666667,0.5533333333333333,71,79,106,44,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,easy,A,B,0,0.9256756756756757,0.8512426900584795,0.9256756756756757,0.8666666666666667,0.8445945945945946,71,79,73,75,11,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,easy,A,B,1,0.9256756756756757,0.8512426900584795,0.9256756756756757,0.8666666666666667,0.8445945945945946,71,79,73,75,11,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,hard,A,B,0,0.44594594594594594,-0.1346297681376214,0.44594594594594594,0.8666666666666667,0.5337837837837838,71,79,42,106,82,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,hard,A,B,1,0.44594594594594594,-0.1346297681376214,0.44594594594594594,0.8666666666666667,0.5472972972972973,71,79,42,106,82,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,mixed,A,B,0,0.4594594594594595,-0.10861423220973787,0.45945945945945954,0.8666666666666667,0.5472972972972973,71,79,40,108,80,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,mixed,A,B,1,0.4527027027027027,-0.12163173652694614,0.45270270270270274,0.8666666666666667,0.5405405405405406,71,79,41,107,81,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,random,A,B,0,0.8513513513513513,0.7009551800146951,0.8513513513513514,0.8666666666666667,0.8040540540540541,71,79,66,82,22,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,3,random,A,B,1,0.6081081081081081,0.2022304832713755,0.6081081081081081,0.8666666666666667,0.527027027027027,71,79,50,98,58,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,easy,A,B,0,0.8082191780821918,0.6226693741923573,0.8082191780821918,0.8666666666666667,0.8082191780821918,71,79,95,51,28,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,easy,A,B,1,0.821917808219178,0.6496215617500462,0.821917808219178,0.8666666666666667,0.8082191780821918,71,79,95,51,26,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,hard,A,B,0,0.5547945205479452,0.13111151803698962,0.5547945205479452,0.8666666666666667,0.6438356164383562,71,79,106,40,65,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,hard,A,B,1,0.5616438356164384,0.14510521500457463,0.5616438356164384,0.8666666666666667,0.6506849315068494,71,79,107,39,64,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,mixed,A,B,0,0.863013698630137,0.7264380738242457,0.8630136986301371,0.8666666666666667,0.8835616438356164,71,79,75,71,20,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,mixed,A,B,1,0.8561643835616438,0.7125445340333771,0.8561643835616438,0.8666666666666667,0.8904109589041096,71,79,74,72,21,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,random,A,B,0,0.9657534246575342,0.9312488227538143,0.9657534246575343,0.8666666666666667,0.863013698630137,71,79,68,78,5,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,5,random,A,B,1,0.7397260273972602,0.4871510445553706,0.7397260273972602,0.8666666666666667,0.6917808219178082,71,79,93,53,38,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,easy,A,B,0,0.8071428571428572,0.620176848874598,0.8071428571428572,0.8666666666666667,0.7642857142857142,71,79,89,51,27,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,easy,A,B,1,0.8071428571428572,0.620176848874598,0.8071428571428572,0.8666666666666667,0.7785714285714286,71,79,89,51,27,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,hard,A,B,0,0.6714285714285714,0.34070434070434075,0.6714285714285714,0.8666666666666667,0.7142857142857143,71,79,66,74,46,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,hard,A,B,1,0.6928571428571428,0.3831967213114753,0.6928571428571428,0.8666666666666667,0.7214285714285714,71,79,65,75,43,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,mixed,A,B,0,0.7785714285714286,0.5625,0.7785714285714286,0.8666666666666667,0.8785714285714286,71,79,85,55,31,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,mixed,A,B,1,0.7714285714285715,0.5480225988700564,0.7714285714285715,0.8666666666666667,0.8714285714285714,71,79,84,56,32,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,random,A,B,0,0.9,0.8009748172217709,0.9,0.8666666666666667,0.8357142857142857,71,79,76,64,14,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,10,random,A,B,1,0.8357142857142857,0.6764469453376206,0.8357142857142856,0.8666666666666667,0.7857142857142857,71,79,89,51,23,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,easy,A,B,0,0.8538461538461538,0.7101619338183525,0.8538461538461539,0.8666666666666667,0.8076923076923077,71,79,74,56,19,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,easy,A,B,1,0.8692307692307693,0.7401833999529743,0.8692307692307693,0.8666666666666667,0.8076923076923077,71,79,72,58,17,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,hard,A,B,0,1.0,1.0,1.0,0.8666666666666667,0.9153846153846154,71,79,61,69,0,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,hard,A,B,1,1.0,1.0,1.0,0.8666666666666667,0.9153846153846154,71,79,61,69,0,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,mixed,A,B,0,0.9,0.7975077881619937,0.9000000000000001,0.8666666666666667,0.8846153846153846,71,79,52,78,13,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,mixed,A,B,1,0.9076923076923077,0.8132631074934163,0.9076923076923077,0.8666666666666667,0.8923076923076924,71,79,53,77,12,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,random,A,B,0,0.9307692307692308,0.8616694253960747,0.9307692307692308,0.8666666666666667,0.8307692307692308,71,79,66,64,9,130,0,0.3,1.5
openai,gpt-4o-mini,0.0,123,20,random,A,B,1,0.9615384615384616,0.9231496807755971,0.9615384615384616,0.8666666666666667,0.8538461538461538,71,79,66,64,5,130,0,0.3,1.5
